,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
6330,39563,,MNIST,0.012,90.0,mnist_net_256x6.onnx,unsat,0.1937296390533447,1422.0,90.0,bab,90.0 mnist_net_256x6.onnx 0.012,1,1,True
6331,39562,,,0.012,90.0,mnist_net_256x6.onnx,unsat,0.335,290.0,,eran,90.0 mnist_net_256x6.onnx 0.012,1,1,True
6344,39541,,MNIST,0.012,90.0,mnist_net_256x4.onnx,unsat,0.2036151885986328,1420.0,90.0,bab,90.0 mnist_net_256x4.onnx 0.012,1,1,True
6345,39540,,,0.012,90.0,mnist_net_256x4.onnx,unsat,0.217,590.0,,eran,90.0 mnist_net_256x4.onnx 0.012,1,1,True
6361,39583,,MNIST,0.012,90.0,mnist_nn.onnx,unsat,0.125516653060913,1423.0,90.0,bab,90.0 mnist_nn.onnx 0.012,1,1,True
6362,39582,,,0.012,90.0,mnist_nn.onnx,unsat,0.31,890.0,,eran,90.0 mnist_nn.onnx 0.012,1,1,True
6373,39499,,MNIST,0.012,90.0,mnist_net.onnx,unsat,0.1818652153015136,1417.0,90.0,bab,90.0 mnist_net.onnx 0.012,1,1,True
6386,39439,,,0.012,90.0,mnist_9_200.onnx,unsat/sat,1.857881546020508,390.0,390.0,abcrown,90.0 mnist_9_200.onnx 0.012,1,1,True
6387,39438,,MNIST,0.012,90.0,mnist_9_200.onnx,unsat,0.2543439865112305,1431.0,90.0,bab,90.0 mnist_9_200.onnx 0.012,1,1,True
6391,39500,,,0.012,90.0,mnist_net.onnx,unsat,0.075,90.0,,eran,90.0 mnist_net.onnx 0.012,1,1,True
6394,39519,,MNIST,0.012,90.0,mnist_net_256x2.onnx,unsat,0.1267600059509277,1419.0,90.0,bab,90.0 mnist_net_256x2.onnx 0.012,1,1,True
6402,39521,,,0.012,90.0,mnist_net_256x2.onnx,unsat,0.043,790.0,,eran,90.0 mnist_net_256x2.onnx 0.012,1,1,True
6426,37223,,MNIST,0.012,86.0,mnist_6_200.onnx,unsat,0.1913981437683104,1365.0,86.0,bab,86.0 mnist_6_200.onnx 0.012,1,1,True
6427,37222,,,0.012,86.0,mnist_6_200.onnx,unsat/sat,1.3070898056030271,186.0,186.0,abcrown,86.0 mnist_6_200.onnx 0.012,1,1,True
6443,37264,,MNIST,0.012,86.0,mnist_9_200.onnx,unsat,0.3439483642578125,1367.0,86.0,bab,86.0 mnist_9_200.onnx 0.012,1,1,True
6444,37263,,,0.012,86.0,mnist_9_200.onnx,unsat/sat,1.8624529838562007,386.0,386.0,abcrown,86.0 mnist_9_200.onnx 0.012,1,1,True
6449,37243,,MNIST,0.012,86.0,mnist_9_100.onnx,unsat,0.1727445125579834,1366.0,86.0,bab,86.0 mnist_9_100.onnx 0.012,1,1,True
6457,37244,,,0.012,86.0,mnist_9_100.onnx,unsat/sat,1.8273837566375728,286.0,286.0,abcrown,86.0 mnist_9_100.onnx 0.012,1,1,True
6468,37138,,MNIST,0.012,86.0,mnist_3_50.onnx,unsat,0.0902049541473388,1361.0,86.0,bab,86.0 mnist_3_50.onnx 0.012,1,1,True
6475,37117,,MNIST,0.012,86.0,mnist_3_100.onnx,unsat,0.157027006149292,1360.0,86.0,bab,86.0 mnist_3_100.onnx 0.012,1,1,True
6481,37158,,MNIST,0.012,86.0,mnist_4_1024.onnx,unsat,0.5237486362457275,1362.0,86.0,bab,86.0 mnist_4_1024.onnx 0.012,1,1,True
6485,37202,,,0.012,86.0,mnist_6_100.onnx,unsat/sat,1.460557222366333,86.0,86.0,abcrown,86.0 mnist_6_100.onnx 0.012,1,1,True
6486,37201,,MNIST,0.012,86.0,mnist_6_100.onnx,unsat,0.1266603469848632,1364.0,86.0,bab,86.0 mnist_6_100.onnx 0.012,1,1,True
6499,37181,,MNIST,0.012,86.0,mnist_5_100.onnx,unsat,0.1270861625671386,1363.0,86.0,bab,86.0 mnist_5_100.onnx 0.012,1,1,True
6507,37409,,,0.012,86.0,mnist_nn.onnx,unsat,3.664,886.0,,eran,86.0 mnist_nn.onnx 0.012,1,1,True
6508,37407,,MNIST,0.012,86.0,mnist_nn.onnx,unsat,3.397261381149292,1359.0,86.0,bab,86.0 mnist_nn.onnx 0.012,1,1,True
6521,37387,,,0.012,86.0,mnist_net_256x6.onnx,unsat,0.435,286.0,,eran,86.0 mnist_net_256x6.onnx 0.012,1,1,True
6522,37386,,MNIST,0.012,86.0,mnist_net_256x6.onnx,unsat,0.2022404670715332,1358.0,86.0,bab,86.0 mnist_net_256x6.onnx 0.012,1,1,True
6529,37430,,,0.012,86.0,rsl18a_linf01.onnx,unsat,0.254,186.0,,eran,86.0 rsl18a_linf01.onnx 0.012,1,1,True
6538,37428,,MNIST,0.012,86.0,rsl18a_linf01.onnx,unsat,0.1132311820983886,1368.0,86.0,bab,86.0 rsl18a_linf01.onnx 0.012,1,1,True
6561,37344,,MNIST,0.012,86.0,mnist_net_256x2.onnx,unsat,0.1142771244049072,1355.0,86.0,bab,86.0 mnist_net_256x2.onnx 0.012,1,1,True
6563,37324,,,0.012,86.0,mnist_net.onnx,unsat,0.087,86.0,,eran,86.0 mnist_net.onnx 0.012,1,1,True
6564,37323,,MNIST,0.012,86.0,mnist_net.onnx,unsat,0.1716597080230713,1353.0,86.0,bab,86.0 mnist_net.onnx 0.012,1,1,True
6571,37345,,,0.012,86.0,mnist_net_256x2.onnx,unsat,0.046,786.0,,eran,86.0 mnist_net_256x2.onnx 0.012,1,1,True
6579,37367,,MNIST,0.012,86.0,mnist_net_256x4.onnx,unsat,0.1592264175415039,1356.0,86.0,bab,86.0 mnist_net_256x4.onnx 0.012,1,1,True
6580,37365,,,0.012,86.0,mnist_net_256x4.onnx,unsat,0.232,586.0,,eran,86.0 mnist_net_256x4.onnx 0.012,1,1,True
6593,37055,,,0.012,86.0,fc2.onnx,unsat,0.006,386.0,,eran,86.0 fc2.onnx 0.012,1,1,True
6594,37054,,MNIST,0.012,86.0,fc2.onnx,sat,1.0501248836517334,1357.0,86.0,bab,86.0 fc2.onnx 0.012,1,1,True
6608,36784,,MNIST,0.012,85.0,mnist_6_200.onnx,unsat,0.166400671005249,1348.0,85.0,bab,85.0 mnist_6_200.onnx 0.012,1,1,True
6609,36783,,,0.012,85.0,mnist_6_200.onnx,unsat/sat,1.307079792022705,185.0,185.0,abcrown,85.0 mnist_6_200.onnx 0.012,1,1,True
6615,36804,,,0.012,85.0,mnist_9_100.onnx,unsat/sat,1.831241607666016,285.0,285.0,abcrown,85.0 mnist_9_100.onnx 0.012,1,1,True
6616,36805,,MNIST,0.012,85.0,mnist_9_100.onnx,unsat,0.1678521633148193,1349.0,85.0,bab,85.0 mnist_9_100.onnx 0.012,1,1,True
6625,36826,,MNIST,0.012,85.0,mnist_9_200.onnx,unsat,3.2341837882995605,1350.0,85.0,bab,85.0 mnist_9_200.onnx 0.012,1,1,True
6626,36825,,,0.012,85.0,mnist_9_200.onnx,unsat/sat,1.849170923233032,385.0,385.0,abcrown,85.0 mnist_9_200.onnx 0.012,1,1,True
6643,36721,,MNIST,0.012,85.0,mnist_4_1024.onnx,unsat,0.5250995159149171,1345.0,85.0,bab,85.0 mnist_4_1024.onnx 0.012,1,1,True
6649,36699,,MNIST,0.012,85.0,mnist_3_50.onnx,unsat,0.109328031539917,1344.0,85.0,bab,85.0 mnist_3_50.onnx 0.012,1,1,True
6657,36678,,MNIST,0.012,85.0,mnist_3_100.onnx,unsat,0.093801736831665,1343.0,85.0,bab,85.0 mnist_3_100.onnx 0.012,1,1,True
6666,36763,,MNIST,0.012,85.0,mnist_6_100.onnx,unsat,0.1314358711242675,1347.0,85.0,bab,85.0 mnist_6_100.onnx 0.012,1,1,True
6667,36762,,,0.012,85.0,mnist_6_100.onnx,unsat/sat,1.4892120361328125,85.0,85.0,abcrown,85.0 mnist_6_100.onnx 0.012,1,1,True
6680,36741,,MNIST,0.012,85.0,mnist_5_100.onnx,unsat,0.144702672958374,1346.0,85.0,bab,85.0 mnist_5_100.onnx 0.012,1,1,True
6688,36970,,MNIST,0.012,85.0,mnist_nn.onnx,unsat,0.1223578453063964,1342.0,85.0,bab,85.0 mnist_nn.onnx 0.012,1,1,True
