,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
594,12064,,cifar,0.012,N17,CIFAR_P13_N17,sat,558.7313,3664.0,babsb,CIFAR_P13_N17 N17 0.012,True,1,1
596,12072,,cifar,0.012,N32,CIFAR_P46_N32,sat,1520.7807,3672.0,babsb,CIFAR_P46_N32 N32 0.012,True,1,1
598,12082,,cifar,0.012,N34,CIFAR_P15_N34,sat,2208.1856,3682.0,babsb,CIFAR_P15_N34 N34 0.012,True,1,1
602,12031,,cifar,0.012,N17,CIFAR_P2_N17,sat,574.8527,3631.0,babsb,CIFAR_P2_N17 N17 0.012,True,1,1
607,12010,,cifar,0.012,N34,CIFAR_P43_N34,sat,2202.6557,3610.0,babsb,CIFAR_P43_N34 N34 0.012,True,1,1
614,12024,,cifar,0.012,N32,CIFAR_P89_N32,sat,1587.5839,3624.0,babsb,CIFAR_P89_N32 N32 0.012,True,1,1
615,12025,,cifar,0.012,N32,CIFAR_P57_N32,sat,1568.482,3625.0,babsb,CIFAR_P57_N32 N32 0.012,True,1,1
617,12029,,cifar,0.012,N18,CIFAR_P32_N18,sat,1934.3605,3629.0,babsb,CIFAR_P32_N18 N18 0.012,True,1,1
624,18423,,cifar,0.012,N42,CIFAR_P65_N42,unsat,107.7294,1623.0,nnenum,CIFAR_P65_N42 N42 0.012,True,1,1
634,18452,,cifar,0.012,N34,CIFAR_P70_N34,unsat,135.8102,1652.0,nnenum,CIFAR_P70_N34 N34 0.012,True,1,1
654,18403,,cifar,0.012,N42,CIFAR_P86_N42,unsat,141.4012,1603.0,nnenum,CIFAR_P86_N42 N42 0.012,True,1,1
681,18480,,cifar,0.012,N15,CIFAR_P84_N15,unsat,228.7407,1680.0,nnenum,CIFAR_P84_N15 N15 0.012,True,1,1
721,18116,,cifar,0.012,N42,CIFAR_P67_N42,unsat,165.4818,1316.0,nnenum,CIFAR_P67_N42 N42 0.012,True,1,1
736,18211,,cifar,0.012,N25,CIFAR_P97_N25,unsat,606.7896,1411.0,nnenum,CIFAR_P97_N25 N25 0.012,True,1,1
747,18328,,cifar,0.012,N15,CIFAR_P70_N15,unsat,312.7028,1528.0,nnenum,CIFAR_P70_N15 N15 0.012,True,1,1
748,18333,,cifar,0.012,N15,CIFAR_P98_N15,unsat,311.8368,1533.0,nnenum,CIFAR_P98_N15 N15 0.012,True,1,1
764,18252,,cifar,0.012,N13,CIFAR_P65_N13,unsat,178.564,1452.0,nnenum,CIFAR_P65_N13 N13 0.012,True,1,1
782,18902,,cifar,0.012,N13,CIFAR_P75_N13,unsat,244.4353,2102.0,nnenum,CIFAR_P75_N13 N13 0.012,True,1,1
788,18922,,cifar,0.012,N2,CIFAR_P21_N2,unsat,386.0348,2122.0,nnenum,CIFAR_P21_N2 N2 0.012,True,1,1
857,18643,,cifar,0.012,N32,CIFAR_P65_N32,unsat,162.884,1843.0,nnenum,CIFAR_P65_N32 N32 0.012,True,1,1
872,18636,,cifar,0.012,N32,CIFAR_P75_N32,unsat,159.5577,1836.0,nnenum,CIFAR_P75_N32 N32 0.012,True,1,1
877,18591,,cifar,0.012,N15,CIFAR_P35_N15,unsat,264.2036,1791.0,nnenum,CIFAR_P35_N15 N15 0.012,True,1,1
924,18739,,cifar,0.012,N15,CIFAR_P25_N15,unsat,345.8385,1939.0,nnenum,CIFAR_P25_N15 N15 0.012,True,1,1
944,17551,,cifar,0.012,N4,CIFAR_P16_N4,unsat,249.5129,751.0,nnenum,CIFAR_P16_N4 N4 0.012,True,1,1
947,17559,,cifar,0.012,N25,CIFAR_P25_N25,unsat,573.2701,759.0,nnenum,CIFAR_P25_N25 N25 0.012,True,1,1
958,17488,,cifar,0.012,N18,CIFAR_P84_N18,unsat,215.2137,688.0,nnenum,CIFAR_P84_N18 N18 0.012,True,1,1
971,17633,,cifar,0.012,N42,CIFAR_P84_N42,unsat,115.3387,833.0,nnenum,CIFAR_P84_N42 N42 0.012,True,1,1
972,17635,,cifar,0.012,N2,CIFAR_P75_N2,unsat,222.2298,835.0,nnenum,CIFAR_P75_N2 N2 0.012,True,1,1
979,17566,,cifar,0.012,N34,CIFAR_P86_N34,unsat,177.9403,766.0,nnenum,CIFAR_P86_N34 N34 0.012,True,1,1
1032,17215,,cifar,0.012,N13,CIFAR_P67_N13,unsat,181.1353,415.0,nnenum,CIFAR_P67_N13 N13 0.012,True,1,1
1037,17243,,cifar,0.012,N17,CIFAR_P67_N17,unsat,162.4692,443.0,nnenum,CIFAR_P67_N17 N17 0.012,True,1,1
1051,17413,,cifar,0.012,N15,CIFAR_P65_N15,unsat,377.0501,613.0,nnenum,CIFAR_P65_N15 N15 0.012,True,1,1
1057,17429,,cifar,0.012,N42,CIFAR_P70_N42,unsat,178.9128,629.0,nnenum,CIFAR_P70_N42 N42 0.012,True,1,1
1058,17434,,cifar,0.012,N2,CIFAR_P35_N2,unsat,365.4455,634.0,nnenum,CIFAR_P35_N2 N2 0.012,True,1,1
1069,17350,,cifar,0.012,N18,CIFAR_P75_N18,unsat,226.1794,550.0,nnenum,CIFAR_P75_N18 N18 0.012,True,1,1
1090,17966,,cifar,0.012,N15,CIFAR_P21_N15,unsat,300.9214,1166.0,nnenum,CIFAR_P21_N15 N15 0.012,True,1,1
1091,17968,,cifar,0.012,N4,CIFAR_P18_N4,unsat,258.2082,1168.0,nnenum,CIFAR_P18_N4 N4 0.012,True,1,1
1110,17916,,cifar,0.012,N42,CIFAR_P25_N42,unsat,137.3041,1116.0,nnenum,CIFAR_P25_N42 N42 0.012,True,1,1
1136,18082,,cifar,0.012,N17,CIFAR_P65_N17,unsat,170.6564,1282.0,nnenum,CIFAR_P65_N17 N17 0.012,True,1,1
1138,18087,,cifar,0.012,N32,CIFAR_P35_N32,unsat,201.3811,1287.0,nnenum,CIFAR_P35_N32 N32 0.012,True,1,1
1150,18018,,cifar,0.012,N32,CIFAR_P84_N32,unsat,172.4225,1218.0,nnenum,CIFAR_P84_N32 N32 0.012,True,1,1
1160,17907,,cifar,0.012,N2,CIFAR_P65_N2,unsat,268.0312,1107.0,nnenum,CIFAR_P65_N2 N2 0.012,True,1,1
1174,17766,,cifar,0.012,N32,CIFAR_P67_N32,unsat,138.9324,966.0,nnenum,CIFAR_P67_N32 N32 0.012,True,1,1
1181,17727,,cifar,0.012,N42,CIFAR_P75_N42,unsat,112.1144,927.0,nnenum,CIFAR_P75_N42 N42 0.012,True,1,1
1193,17696,,cifar,0.012,N13,CIFAR_P70_N13,unsat,128.8852,896.0,nnenum,CIFAR_P70_N13 N13 0.012,True,1,1
1207,17871,,cifar,0.012,N32,CIFAR_P25_N32,unsat,168.3902,1071.0,nnenum,CIFAR_P25_N32 N32 0.012,True,1,1
1212,17884,,cifar,0.012,N17,CIFAR_P25_N17,unsat,145.9953,1084.0,nnenum,CIFAR_P25_N17 N17 0.012,True,1,1
1220,17807,,cifar,0.012,N17,CIFAR_P75_N17,unsat,131.0158,1007.0,nnenum,CIFAR_P75_N17 N17 0.012,True,1,1
1221,17838,,cifar,0.012,N2,CIFAR_P98_N2,unsat,256.7245,1038.0,nnenum,CIFAR_P98_N2 N2 0.012,True,1,1
1240,9384,,cifar,0.012,N34,CIFAR_P17_N34,sat,2065.7985,984.0,babsb,CIFAR_P17_N34 N34 0.012,True,1,1
