,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
4054,8608,,mnist,0.012,N49,MNIST_P6_N49,unsat,59.6459,4208.0,verinet,MNIST_P6_N49 N49 0.012,True,1,1
4055,8615,,mnist,0.012,N49,MNIST_P38_N49,unsat,59.2641,4215.0,verinet,MNIST_P38_N49 N49 0.012,True,1,1
4056,8619,,mnist,0.012,N5,MNIST_P24_N5,unsat,52.7961,4219.0,verinet,MNIST_P24_N5 N5 0.012,True,1,1
4057,8625,,mnist,0.012,N5,MNIST_P34_N5,unsat,51.6057,4225.0,verinet,MNIST_P34_N5 N5 0.012,True,1,1
4058,8627,,mnist,0.012,N15,MNIST_P88_N15,unsat,51.7042,4227.0,verinet,MNIST_P88_N15 N15 0.012,True,1,1
4059,8630,,mnist,0.012,N49,MNIST_P94_N49,unsat,60.0133,4230.0,verinet,MNIST_P94_N49 N49 0.012,True,1,1
4060,8639,,mnist,0.012,N15,MNIST_P35_N15,sat,11.6214,4239.0,verinet,MNIST_P35_N15 N15 0.012,True,1,1
4061,8647,,mnist,0.012,N5,MNIST_P28_N5,unsat,50.6433,4247.0,verinet,MNIST_P28_N5 N5 0.012,True,1,1
4062,8654,,mnist,0.012,N18,MNIST_P86_N18,unsat,51.4304,4254.0,verinet,MNIST_P86_N18 N18 0.012,True,1,1
4063,8656,,mnist,0.012,N15,MNIST_P87_N15,unsat,51.6019,4256.0,verinet,MNIST_P87_N15 N15 0.012,True,1,1
4064,8662,,mnist,0.012,N15,MNIST_P71_N15,unsat,51.9357,4262.0,verinet,MNIST_P71_N15 N15 0.012,True,1,1
4065,8668,,mnist,0.012,N15,MNIST_P59_N15,sat,34.2332,4268.0,verinet,MNIST_P59_N15 N15 0.012,True,1,1
4103,8566,,mnist,0.012,N5,MNIST_P52_N5,unsat,49.202,4166.0,verinet,MNIST_P52_N5 N5 0.012,True,1,1
4104,8561,,mnist,0.012,N48,MNIST_P29_N48,unsat,59.5285,4161.0,verinet,MNIST_P29_N48 N48 0.012,True,1,1
4105,8545,,mnist,0.012,N15,MNIST_P97_N15,unsat,50.2448,4145.0,verinet,MNIST_P97_N15 N15 0.012,True,1,1
4106,8288,,mnist,0.012,N5,MNIST_P45_N5,unsat,52.7047,3888.0,verinet,MNIST_P45_N5 N5 0.012,True,1,1
4107,8195,,mnist,0.012,N14,MNIST_P64_N14,unsat,58.7494,3795.0,verinet,MNIST_P64_N14 N14 0.012,True,1,1
4108,8198,,mnist,0.012,N18,MNIST_P9_N18,unsat,51.4522,3798.0,verinet,MNIST_P9_N18 N18 0.012,True,1,1
4109,8208,,mnist,0.012,N14,MNIST_P44_N14,unsat,60.3709,3808.0,verinet,MNIST_P44_N14 N14 0.012,True,1,1
4110,8209,,mnist,0.012,N15,MNIST_P68_N15,unsat,51.6957,3809.0,verinet,MNIST_P68_N15 N15 0.012,True,1,1
4111,8212,,mnist,0.012,N14,MNIST_P74_N14,unsat,60.0155,3812.0,verinet,MNIST_P74_N14 N14 0.012,True,1,1
4112,8213,,mnist,0.012,N18,MNIST_P25_N18,unsat,50.4936,3813.0,verinet,MNIST_P25_N18 N18 0.012,True,1,1
4113,8220,,mnist,0.012,N15,MNIST_P81_N15,unsat,50.6736,3820.0,verinet,MNIST_P81_N15 N15 0.012,True,1,1
4114,8222,,mnist,0.012,N48,MNIST_P43_N48,sat,7.4468,3822.0,verinet,MNIST_P43_N48 N48 0.012,True,1,1
4115,8223,,mnist,0.012,N49,MNIST_P31_N49,unsat,59.1687,3823.0,verinet,MNIST_P31_N49 N49 0.012,True,1,1
4116,8226,,mnist,0.012,N5,MNIST_P12_N5,unsat,50.8525,3826.0,verinet,MNIST_P12_N5 N5 0.012,True,1,1
4117,8253,,mnist,0.012,N18,MNIST_P93_N18,unsat,47.9248,3853.0,verinet,MNIST_P93_N18 N18 0.012,True,1,1
4118,8256,,mnist,0.012,N5,MNIST_P19_N5,unsat,51.2063,3856.0,verinet,MNIST_P19_N5 N5 0.012,True,1,1
4119,8260,,mnist,0.012,N14,MNIST_P13_N14,unsat,59.6719,3860.0,verinet,MNIST_P13_N14 N14 0.012,True,1,1
4120,8269,,mnist,0.012,N48,MNIST_P62_N48,unsat,59.8063,3869.0,verinet,MNIST_P62_N48 N48 0.012,True,1,1
4121,8278,,mnist,0.012,N18,MNIST_P10_N18,unsat,51.8729,3878.0,verinet,MNIST_P10_N18 N18 0.012,True,1,1
4122,8156,,mnist,0.012,N48,MNIST_P20_N48,unsat,59.3571,3756.0,verinet,MNIST_P20_N48 N48 0.012,True,1,1
4123,8155,,mnist,0.012,N15,MNIST_P2_N15,sat,22.8658,3755.0,verinet,MNIST_P2_N15 N15 0.012,True,1,1
4124,8148,,mnist,0.012,N48,MNIST_P32_N48,unsat,61.4841,3748.0,verinet,MNIST_P32_N48 N48 0.012,True,1,1
4125,8084,,mnist,0.012,N48,MNIST_P35_N48,unsat,59.9609,3684.0,verinet,MNIST_P35_N48 N48 0.012,True,1,1
4126,8050,,mnist,0.012,N5,MNIST_P86_N5,unsat,51.2411,3650.0,verinet,MNIST_P86_N5 N5 0.012,True,1,1
4127,8057,,mnist,0.012,N49,MNIST_P33_N49,sat,47.6918,3657.0,verinet,MNIST_P33_N49 N49 0.012,True,1,1
4128,8063,,mnist,0.012,N14,MNIST_P92_N14,sat,58.7025,3663.0,verinet,MNIST_P92_N14 N14 0.012,True,1,1
4129,8078,,mnist,0.012,N14,MNIST_P71_N14,unsat,60.0119,3678.0,verinet,MNIST_P71_N14 N14 0.012,True,1,1
4130,8082,,mnist,0.012,N49,MNIST_P5_N49,unsat,58.0811,3682.0,verinet,MNIST_P5_N49 N49 0.012,True,1,1
4131,8083,,mnist,0.012,N49,MNIST_P73_N49,unsat,60.4693,3683.0,verinet,MNIST_P73_N49 N49 0.012,True,1,1
4132,8085,,mnist,0.012,N5,MNIST_P53_N5,unsat,51.219,3685.0,verinet,MNIST_P53_N5 N5 0.012,True,1,1
4133,8142,,mnist,0.012,N5,MNIST_P5_N5,unsat,50.4793,3742.0,verinet,MNIST_P5_N5 N5 0.012,True,1,1
4134,8097,,mnist,0.012,N49,MNIST_P66_N49,unsat,61.3967,3697.0,verinet,MNIST_P66_N49 N49 0.012,True,1,1
4135,8101,,mnist,0.012,N14,MNIST_P52_N14,unsat,61.2225,3701.0,verinet,MNIST_P52_N14 N14 0.012,True,1,1
4136,8109,,mnist,0.012,N48,MNIST_P54_N48,unsat,61.4232,3709.0,verinet,MNIST_P54_N48 N48 0.012,True,1,1
4137,8124,,mnist,0.012,N48,MNIST_P6_N48,unsat,60.7438,3724.0,verinet,MNIST_P6_N48 N48 0.012,True,1,1
4138,8127,,mnist,0.012,N18,MNIST_P33_N18,sat,11.3018,3727.0,verinet,MNIST_P33_N18 N18 0.012,True,1,1
4139,8134,,mnist,0.012,N15,MNIST_P41_N15,sat,34.3644,3734.0,verinet,MNIST_P41_N15 N15 0.012,True,1,1
4140,8281,,mnist,0.012,N49,MNIST_P87_N49,unsat,58.6656,3881.0,verinet,MNIST_P87_N49 N49 0.012,True,1,1
4141,8302,,mnist,0.012,N15,MNIST_P91_N15,unsat,51.1719,3902.0,verinet,MNIST_P91_N15 N15 0.012,True,1,1
