,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
147,5972,,,0.012,46.0,cifar_wide_kw_simp.onnx,unsat,12.91,46.0,,eran,46.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
148,5970,,CIFAR,0.012,46.0,cifar_wide_kw_simp.onnx,sat,2.3109922409057617,1249.0,46.0,bab,46.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
149,5965,,CIFAR,0.012,46.0,cifar_wide_kw.onnx,sat,2.361780166625977,1246.0,46.0,bab,46.0 cifar_wide_kw.onnx 0.012,1,1,True
150,11816,,,0.012,83.0,cifar10_2_255_simplified.onnx,unsat,794.103,1483.0,,eran,83.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
151,11815,,CIFAR,0.012,83.0,cifar10_2_255_simplified.onnx,sat,47.06673717498779,2258.0,83.0,bab,83.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
152,5879,,,0.012,45.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,10.485,2045.0,,eran,45.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
153,5880,,,0.012,45.0,ffnnRELU__Point_6_500.onnx,unsat,11.333,1845.0,,eran,45.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
154,11813,,CIFAR,0.012,83.0,cifar10_2_255.onnx,sat,47.15635442733765,2255.0,83.0,bab,83.0 cifar10_2_255.onnx 0.012,1,1,True
155,5908,,CIFAR,0.012,46.0,cifar10_2_255.onnx,sat,47.345497131347656,1245.0,46.0,bab,46.0 cifar10_2_255.onnx 0.012,1,1,True
156,11811,,,0.012,83.0,cifar10_2_255.onnx,unsat,795.818,2883.0,,eran,83.0 cifar10_2_255.onnx 0.012,1,1,True
157,5911,,CIFAR,0.012,46.0,cifar10_2_255_simplified.onnx,sat,47.30979013442993,1248.0,46.0,bab,46.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
158,11785,,,0.012,82.0,ffnnRELU__Point_6_500.onnx,unsat,7.989,1882.0,,eran,82.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
159,5913,,CIFAR,0.012,46.0,cifar10_8_255.onnx,sat,11.304390907287598,1251.0,46.0,bab,46.0 cifar10_8_255.onnx 0.012,1,1,True
160,5914,,,0.012,46.0,cifar10_8_255.onnx,unsat,8.804,2446.0,,eran,46.0 cifar10_8_255.onnx 0.012,1,1,True
161,5917,,,0.012,46.0,cifar10_8_255_simplified.onnx,unsat,8.697,246.0,,eran,46.0 cifar10_8_255_simplified.onnx 0.012,1,1,True
162,5918,,CIFAR,0.012,46.0,cifar10_8_255_simplified.onnx,sat,10.751799821853638,1256.0,46.0,bab,46.0 cifar10_8_255_simplified.onnx 0.012,1,1,True
163,5941,,CIFAR,0.012,46.0,cifar_base_kw.onnx,sat,1.2846381664276123,1277.0,46.0,bab,46.0 cifar_base_kw.onnx 0.012,1,1,True
164,5942,,,0.012,46.0,cifar_base_kw.onnx,sat,6.804,3446.0,,eran,46.0 cifar_base_kw.onnx 0.012,1,1,True
165,5946,,CIFAR,0.012,46.0,cifar_base_kw_simp.onnx,sat,1.1578245162963867,1278.0,46.0,bab,46.0 cifar_base_kw_simp.onnx 0.012,1,1,True
166,5947,,,0.012,46.0,cifar_base_kw_simp.onnx,sat,6.855,2946.0,,eran,46.0 cifar_base_kw_simp.onnx 0.012,1,1,True
167,11781,,,0.012,82.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,7.837,2082.0,,eran,82.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
168,11780,,,0.012,82.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,7.891,3282.0,,eran,82.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
169,5953,,CIFAR,0.012,46.0,cifar_deep_kw.onnx,sat,4.184627056121826,1235.0,46.0,bab,46.0 cifar_deep_kw.onnx 0.012,1,1,True
170,5954,,,0.012,46.0,cifar_deep_kw.onnx,sat,24.935,1046.0,,eran,46.0 cifar_deep_kw.onnx 0.012,1,1,True
171,11779,,CIFAR,0.012,82.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,3586.6252982616425,2300.0,82.0,bab,82.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
172,5959,,CIFAR,0.012,46.0,cifar_deep_kw_simp.onnx,sat,4.413284063339233,1236.0,46.0,bab,46.0 cifar_deep_kw_simp.onnx 0.012,1,1,True
