,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
54861,,,0.008,50.0,cifar_conv_maxpool.onnx,unsat,798.15,3750.0,,eran,50.0 cifar_conv_maxpool.onnx 0.008,1,1,True
54866,,,0.01,50.0,cifar_conv_maxpool.onnx,unsat,982.504,3750.0,,eran,50.0 cifar_conv_maxpool.onnx 0.01,1,1,True
54869,,,0.012,50.0,cifar_conv_maxpool.onnx,unsat,1275.883,3750.0,,eran,50.0 cifar_conv_maxpool.onnx 0.012,1,1,True
54870,,,0.02,50.0,cifar_conv_maxpool.onnx,unsat,1669.102,3750.0,,eran,50.0 cifar_conv_maxpool.onnx 0.02,1,1,True
61985,,,0.004,56.0,cifar_conv_maxpool.onnx,unsat,627.793,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.004,1,1,True
61986,,,0.005,56.0,cifar_conv_maxpool.onnx,unsat,645.93,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.005,1,1,True
61989,,,0.008,56.0,cifar_conv_maxpool.onnx,unsat,901.063,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.008,1,1,True
70305,,,0.012,62.0,cifar_conv_maxpool.onnx,unsat,28.297,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.012,1,1,True
67928,,,0.01,60.0,cifar_conv_maxpool.onnx,unsat,1502.853,3760.0,,eran,60.0 cifar_conv_maxpool.onnx 0.01,1,1,True
69106,,,0.004,61.0,cifar_conv_maxpool.onnx,unsat,22.273,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.004,1,1,True
69110,,,0.005,61.0,cifar_conv_maxpool.onnx,unsat,21.961,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.005,1,1,True
69111,,,0.008,61.0,cifar_conv_maxpool.onnx,unsat,22.046,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.008,1,1,True
69114,,,0.01,61.0,cifar_conv_maxpool.onnx,unsat,22.242,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.01,1,1,True
69118,,,0.012,61.0,cifar_conv_maxpool.onnx,unsat,21.816,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.012,1,1,True
69122,,,0.02,61.0,cifar_conv_maxpool.onnx,unsat,22.138,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.02,1,1,True
69123,,,0.025,61.0,cifar_conv_maxpool.onnx,unsat,21.946,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.025,1,1,True
69128,,,0.03,61.0,cifar_conv_maxpool.onnx,unsat,21.975,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.03,1,1,True
69129,,,0.04,61.0,cifar_conv_maxpool.onnx,unsat,22.091,3761.0,,eran,61.0 cifar_conv_maxpool.onnx 0.04,1,1,True
70293,,,0.004,62.0,cifar_conv_maxpool.onnx,unsat,28.276,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.004,1,1,True
70297,,,0.005,62.0,cifar_conv_maxpool.onnx,unsat,28.13,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.005,1,1,True
70300,,,0.008,62.0,cifar_conv_maxpool.onnx,unsat,28.152,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.008,1,1,True
70302,,,0.01,62.0,cifar_conv_maxpool.onnx,unsat,28.378,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.01,1,1,True
70310,,,0.02,62.0,cifar_conv_maxpool.onnx,unsat,28.327,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.02,1,1,True
67921,,,0.005,60.0,cifar_conv_maxpool.onnx,unsat,1015.21,3760.0,,eran,60.0 cifar_conv_maxpool.onnx 0.005,1,1,True
70313,,,0.025,62.0,cifar_conv_maxpool.onnx,unsat,28.079,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.025,1,1,True
