,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
51096,,MNIST,0.01,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1530.0,93.0,abcrown,93.0 mnist_relu_4_1024.onnx 0.01,0,0,False
51097,,MNIST,0.01,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1530.0,93.0,eran,93.0 mnist_relu_4_1024.onnx 0.01,0,0,False
51099,,MNIST,0.012,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1471.0,93.0,eran,93.0 mnist_relu_4_1024.onnx 0.012,0,0,False
1925,,,0.004,11.0,mnist_nn.onnx,time-out or unsolved,3600.0,811.0,,abcrown,11.0 mnist_nn.onnx 0.004,0,0,False
51591,,MNIST,0.01,94.0,mnist_relu_3_100.onnx,time-out or unsolved,3600.0,1545.0,94.0,abcrown,94.0 mnist_relu_3_100.onnx 0.01,0,0,False
51592,,MNIST,0.01,94.0,mnist_relu_3_100.onnx,time-out or unsolved,3600.0,1545.0,94.0,eran,94.0 mnist_relu_3_100.onnx 0.01,0,0,False
1542,,,0.02,10.0,mnist_relu_6_200.onnx,time-out or unsolved,3600.0,110.0,110.0,eran,10.0 mnist_relu_6_200.onnx 0.02,0,0,False
52045,,,0.005,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.005,0,0,False
52047,,,0.008,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.008,0,0,False
1452,,MNIST,0.03,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,133.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.03,0,0,False
1450,,MNIST,0.025,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,137.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.025,0,0,False
1449,,MNIST,0.025,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,137.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.025,0,0,False
52052,,,0.01,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.01,0,0,False
52054,,,0.012,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.012,0,0,False
1447,,MNIST,0.02,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,137.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.02,0,0,False
1446,,MNIST,0.02,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,137.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.02,0,0,False
52057,,,0.02,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.02,0,0,False
1445,,MNIST,0.012,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,160.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.012,0,0,False
52059,,,0.025,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.025,0,0,False
1443,,MNIST,0.012,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,160.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.012,0,0,False
52062,,,0.03,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.03,0,0,False
1442,,MNIST,0.01,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,171.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.01,0,0,False
1441,,MNIST,0.01,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,171.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.01,0,0,False
52065,,,0.04,95.0,mnist_net_256_4.onnx,time-out,3600.0,595.0,,eran,95.0 mnist_net_256_4.onnx 0.04,0,0,False
52067,,,0.04,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.04,0,0,False
52068,,,0.004,95.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,295.0,,abcrown,95.0 mnist_net_256_6.onnx 0.004,0,0,False
1439,,MNIST,0.008,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,177.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.008,0,0,False
1438,,MNIST,0.008,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,177.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.008,0,0,False
52072,,,0.005,95.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,295.0,,abcrown,95.0 mnist_net_256_6.onnx 0.005,0,0,False
1436,,MNIST,0.005,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,178.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.005,0,0,False
1435,,MNIST,0.005,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,178.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.005,0,0,False
52076,,,0.008,95.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,295.0,,abcrown,95.0 mnist_net_256_6.onnx 0.008,0,0,False
52077,,,0.01,95.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,295.0,,abcrown,95.0 mnist_net_256_6.onnx 0.01,0,0,False
1433,,MNIST,0.004,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,179.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.004,0,0,False
1432,,MNIST,0.004,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,179.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.004,0,0,False
1453,,MNIST,0.03,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,133.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.03,0,0,False
1455,,MNIST,0.04,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,142.0,10.0,eran,10.0 mnist_relu_3_50.onnx 0.04,0,0,False
51595,,MNIST,0.012,94.0,mnist_relu_3_100.onnx,time-out or unsolved,3600.0,1486.0,94.0,eran,94.0 mnist_relu_3_100.onnx 0.012,0,0,False
52042,,,0.004,95.0,mnist_net_256_4.onnx,time-out or unsolved,3600.0,595.0,,abcrown,95.0 mnist_net_256_4.onnx 0.004,0,0,False
51749,,,0.025,94.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,294.0,294.0,eran,94.0 mnist_relu_9_100.onnx 0.025,0,0,False
1477,,MNIST,0.005,10.0,mnist_relu_5_100.onnx,time-out or unsolved,3600.0,180.0,10.0,eran,10.0 mnist_relu_5_100.onnx 0.005,0,0,False
51751,,,0.03,94.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,294.0,294.0,eran,94.0 mnist_relu_9_100.onnx 0.03,0,0,False
51752,,,0.03,94.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,294.0,294.0,bab,94.0 mnist_relu_9_100.onnx 0.03,0,0,False
51753,,,0.04,94.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,294.0,294.0,eran,94.0 mnist_relu_9_100.onnx 0.04,0,0,False
1475,,MNIST,0.004,10.0,mnist_relu_5_100.onnx,time-out or unsolved,3600.0,181.0,10.0,eran,10.0 mnist_relu_5_100.onnx 0.004,0,0,False
51783,,,0.004,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.004,0,0,False
1473,,MNIST,0.004,10.0,mnist_relu_5_100.onnx,time-out or unsolved,3600.0,181.0,10.0,abcrown,10.0 mnist_relu_5_100.onnx 0.004,0,0,False
51787,,,0.005,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.005,0,0,False
1471,,MNIST,0.012,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,161.0,10.0,eran,10.0 mnist_relu_4_1024.onnx 0.012,0,0,False
51789,,,0.008,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.008,0,0,False
1470,,MNIST,0.012,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,161.0,10.0,abcrown,10.0 mnist_relu_4_1024.onnx 0.012,0,0,False
1469,,MNIST,0.01,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,172.0,10.0,abcrown,10.0 mnist_relu_4_1024.onnx 0.01,0,0,False
51792,,,0.01,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.01,0,0,False
1467,,MNIST,0.01,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,172.0,10.0,eran,10.0 mnist_relu_4_1024.onnx 0.01,0,0,False
1466,,MNIST,0.008,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,178.0,10.0,abcrown,10.0 mnist_relu_4_1024.onnx 0.008,0,0,False
51797,,,0.012,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.012,0,0,False
51798,,,0.02,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.02,0,0,False
1464,,MNIST,0.008,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,178.0,10.0,eran,10.0 mnist_relu_4_1024.onnx 0.008,0,0,False
1463,,MNIST,0.005,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,179.0,10.0,eran,10.0 mnist_relu_4_1024.onnx 0.005,0,0,False
1461,,MNIST,0.005,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,179.0,10.0,abcrown,10.0 mnist_relu_4_1024.onnx 0.005,0,0,False
51803,,,0.025,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.025,0,0,False
1460,,MNIST,0.004,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,180.0,10.0,abcrown,10.0 mnist_relu_4_1024.onnx 0.004,0,0,False
1459,,MNIST,0.004,10.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,180.0,10.0,eran,10.0 mnist_relu_4_1024.onnx 0.004,0,0,False
51806,,,0.03,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.03,0,0,False
51807,,,0.04,94.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,194.0,,abcrown,94.0 rsl18a_linf01.onnx 0.04,0,0,False
1457,,MNIST,0.04,10.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,142.0,10.0,abcrown,10.0 mnist_relu_3_50.onnx 0.04,0,0,False
1430,,MNIST,0.04,10.0,mnist_relu_3_100.onnx,time-out or unsolved,3600.0,141.0,10.0,eran,10.0 mnist_relu_3_100.onnx 0.04,0,0,False
52082,,,0.012,95.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,295.0,,abcrown,95.0 mnist_net_256_6.onnx 0.012,0,0,False
1429,,MNIST,0.04,10.0,mnist_relu_3_100.onnx,time-out or unsolved,3600.0,141.0,10.0,abcrown,10.0 mnist_relu_3_100.onnx 0.04,0,0,False
